init;0.046

frame;preprocessing;pyramid gen.;detection
0;0.344384;19.2693;85.8897
1;0.347904;19.2507;85.7407
2;0.347712;19.2532;85.5842
3;0.347072;19.2728;85.885
4;0.344448;19.3442;87.6026
5;0.343744;19.2553;85.9533
6;0.348064;19.2746;87.6968
7;0.347968;19.268;86.3404
8;0.347808;19.2732;87.1525
9;0.344032;19.3153;85.9302
10;0.347648;19.2855;87.0809
11;0.347744;19.2766;86.4669
12;0.3472;19.2764;86.9507
13;0.348544;19.2856;88.6794
14;0.345312;19.2753;87.7402
15;0.348192;19.271;87.0611
16;0.347584;19.2809;87.4261
17;0.348352;19.2812;87.001
18;0.344672;19.2893;86.97
19;0.344192;19.2708;87.5052
20;0.34912;19.2805;87.3594
21;0.34784;19.2571;88.5949
22;0.348064;19.2746;82.8927
23;0.34512;19.2626;83.0962
24;0.34416;19.2672;82.3044
25;0.34816;19.2754;82.4759
26;0.347232;19.2824;82.121
27;0.347712;19.3329;81.7237
28;0.343968;19.2592;83.8875
29;0.344896;19.275;82.0585
30;0.347648;19.2718;82.7613
31;0.347584;19.2578;82.8027
32;0.344256;19.3548;84.0931
33;0.344;19.2608;82.317
34;0.343136;19.2611;82.0954
35;0.34816;19.285;82.654
36;0.348128;19.2688;82.6622
37;0.343648;19.2503;83.8046
38;0.345344;19.2998;82.1998
39;0.344576;19.2704;82.9539
40;0.347328;19.2922;82.0569
41;0.347456;19.2835;82.8904
42;0.344768;19.2762;83.5114
43;0.347712;19.3613;82.8526
44;0.348128;19.2635;82.666
45;0.348288;19.2742;84.2201
46;0.348128;19.264;83.1861
47;0.34432;19.266;83.9037
48;0.348064;19.3266;83.3885
49;0.348288;19.278;83.3564
50;0.34784;19.2505;83.5882
