init;0.062

frame;preprocessing;pyramid gen.;detection
0;0.0416;4.77386;7.41168
1;0.040736;4.7671;6.89574
2;0.04224;4.75411;6.96566
3;0.042688;4.7544;6.44723
4;0.042816;4.7673;7.34762
5;0.042944;4.76467;7.44826
6;0.04368;4.75939;7.31008
7;0.04272;4.76186;7.33568
8;0.042144;4.74726;6.67853
9;0.042112;4.7624;6.0337
10;0.042016;4.76608;7.62419
11;0.04;4.78432;7.49264
12;0.040256;4.76749;7.56307
13;0.043296;4.76237;7.57578
14;0.042144;4.76634;7.21648
15;0.042368;4.76282;7.64906
16;0.03952;4.77322;7.55139
17;0.040672;4.76496;7.61478
18;0.039712;4.7744;6.95216
19;0.040576;4.76445;7.39299
20;0.039904;4.77901;7.34253
21;0.04;4.76643;7.59226
22;0.041952;4.7567;7.19053
23;0.04;4.76902;7.66077
24;0.04192;4.76589;7.59949
25;0.04016;4.7793;7.53062
26;0.040448;4.77395;7.95907
27;0.040096;4.77773;6
28;0.040416;4.75802;6.69827
29;0.042368;4.7576;7.60806
30;0.03952;4.78688;7.15203
31;0.041472;4.76275;7.83904
32;0.039808;4.77325;6.0687
33;0.040192;4.77942;7.54992
34;0.04;4.78877;7.52118
35;0.040448;4.77034;7.29754
36;0.041856;4.76208;7.08803
37;0.03968;4.77578;6.49808
38;0.041984;4.75955;7.64662
39;0.040032;4.78851;7.55171
40;0.040096;4.76848;7.42298
41;0.03968;4.78669;6.12669
42;0.042016;4.76016;7.94589
43;0.042272;4.76038;7.96982
44;0.040096;4.77306;7.73414
45;0.040832;4.76624;6.26336
46;0.04;4.78291;7.09178
47;0.040288;4.76829;7.12064
48;0.042848;4.76643;7.63914
49;0.040032;4.77677;6.19946
50;0.041888;4.76454;7.82035
