init;0.093

frame;preprocessing;pyramid gen.;detection
0;0.051744;5.51242;10.599
1;0.04944;5.48554;11.335
2;0.049536;5.50938;11.3749
3;0.0496;5.53795;11.2261
4;0.049664;5.50592;11.4991
5;0.049792;5.50518;11.3579
6;0.049632;5.46826;12.4975
7;0.049632;5.49571;11.2861
8;0.049568;5.52723;11.1668
9;0.049568;5.536;11.2312
10;0.049632;5.48698;11.1228
11;0.049536;5.5015;11.2701
12;0.049312;5.51888;11.2305
13;0.049568;5.51357;11.5685
14;0.049664;5.48035;11.3925
15;0.049568;5.50682;11.5832
16;0.049504;5.52813;11.1424
17;0.049664;5.50646;11.5519
18;0.0496;5.51062;11.7561
19;0.049632;5.49523;11.3903
20;0.049504;5.48714;11.6891
21;0.049536;5.51235;11.9652
22;0.049472;5.53664;10.0371
23;0.049568;5.49376;10.1685
24;0.049568;5.4625;11.3409
25;0.049792;5.50893;10.0727
26;0.049504;5.51386;9.99219
27;0.049792;5.51514;9.95382
28;0.049696;5.50454;10.9507
29;0.049632;5.48202;11.3933
30;0.049568;5.52544;10.1748
31;0.049728;5.53075;11.1151
32;0.050208;5.45968;11.2004
33;0.049696;5.49421;10.3215
34;0.049536;5.5032;11.4777
35;0.0496;5.52234;11.4516
36;0.049792;5.5087;10.0649
37;0.04944;5.48893;11.4953
38;0.049536;5.508;11.5671
39;0.0496;5.53654;10.5862
40;0.049504;5.5105;11.5656
41;0.049504;5.50166;10.1294
42;0.049344;5.45555;11.5984
43;0.049344;5.48694;10.3256
44;0.049696;5.51542;11.3229
45;0.0496;5.5;10.4646
46;0.0496;5.51072;10.6872
47;0.049568;5.5111;10.2131
48;0.049536;5.50413;10.3458
49;0.049632;5.50621;10.4298
50;0.050592;5.50845;11.6417
