init;0.057

frame;preprocessing;pyramid gen.;detection
0;2.28787;125.239;547.124
1;2.31139;125.147;561.823
2;2.31171;125.065;559.808
3;2.28829;124.858;568.101
4;2.30157;125.083;565.376
5;2.29638;125.13;562.676
6;2.30826;125.064;570.556
7;2.29389;125.071;572.248
8;2.29347;125.037;572.552
9;2.30922;125.063;563.514
10;2.32595;125.031;565.772
11;2.28838;124.969;567.954
12;2.31328;124.888;574.468
13;2.28186;125.25;571.967
14;2.29213;124.828;571.498
15;2.29846;125.041;577.05
16;2.29366;125.113;576.242
17;2.30198;124.854;574.689
18;2.30173;125.022;564.008
19;2.3064;125.111;570.064
20;2.29293;124.877;575.197
21;2.32944;125.023;573.373
22;2.29546;125.148;537.662
23;2.27462;125.07;529.742
24;2.27267;125.073;532.571
25;2.3161;124.882;533.028
26;2.30723;124.844;528.22
27;2.32102;124.998;523.45
28;2.31907;125.047;525.249
29;2.28973;124.951;528.268
30;2.29341;124.831;525.208
31;2.30032;125.114;528.594
32;2.29853;125.083;528.771
33;2.29837;124.977;531.664
34;2.29875;125.176;531.965
35;2.27459;125.068;529.218
36;2.296;125.093;532.125
37;2.28634;125.087;530.472
38;2.31302;125.202;529.416
39;2.26675;125.05;533.102
40;2.29622;125.121;532.052
41;2.32102;125.158;539.697
42;2.29981;124.963;538.432
43;2.29174;125.138;534.24
44;2.31501;125.015;540.408
45;2.29024;125.073;541.528
46;2.2865;124.821;540.584
47;2.32403;125.04;543.104
48;2.26291;125.134;542.03
49;2.31856;124.821;544.648
50;2.30646;124.897;539.428
