init;0.124

frame;preprocessing;pyramid gen.;detection
0;0.025536;4.2025;5.04115
1;0.023296;4.2025;4.52198
2;0.023136;4.20352;4.81792
3;0.023232;4.19328;4.72883
4;0.023008;4.224;4.41549
5;0.022528;4.20045;4.77798
6;0.022528;4.2025;4.78413
7;0.022528;4.20147;5.01248
8;0.023168;4.18714;4.99712
9;0.022528;4.24134;4.8855
10;0.022528;4.21478;4.84659
11;0.023456;4.20454;5.05242
12;0.023008;4.22195;4.95718
13;0.023552;4.19533;4.84966
14;0.028672;4.2455;5.00634
15;0.022528;4.20147;4.60902
16;0.022528;4.19635;4.91315
17;0.023072;4.21478;4.78515
18;0.023264;4.19123;4.9152
19;0.023296;4.21274;4.93261
20;0.022528;4.19328;4.97562
21;0.022528;4.18099;5.10259
22;0.022528;4.23117;5.02477
23;0.022528;4.20864;5.08109
24;0.023008;4.21069;5.09645
25;0.023072;4.21478;5.03501
26;0.023424;4.20147;4.72883
27;0.023232;4.25267;4.98995
28;0.022528;4.2025;4.62234
29;0.023072;4.1943;4.58752
30;0.023552;4.22912;5.05139
31;0.022912;4.20762;5.07085
32;0.023424;4.20966;4.74931
33;0.023456;4.19328;5.03194
34;0.022528;4.19635;5.08621
35;0.023328;4.22605;4.93363
36;0.022496;4.21274;5.0647
37;0.023488;4.19328;4.91725
38;0.0232;4.224;5.11181
39;0.023424;4.20045;4.8599
40;0.022528;4.24755;4.88755
41;0.022528;4.20454;4.91622
42;0.022528;4.2025;5.23162
43;0.02304;4.22707;5.21011
44;0.022528;4.2025;5.31968
45;0.022528;4.20557;4.97357
46;0.022528;4.17178;4.98176
47;0.023328;4.18918;4.92032
48;0.022528;4.23424;4.89062
49;0.023232;4.22605;4.89677
50;0.023424;4.20864;4.99917
