init;0.046

frame;preprocessing;pyramid gen.;detection
0;0.0528;3.47565;27.4034
1;0.051104;3.4695;27.4281
2;0.05104;3.4769;28.9848
3;0.050976;3.46998;27.3382
4;0.050976;3.47402;27.442
5;0.050912;3.47184;28.2784
6;0.050976;3.47213;27.791
7;0.051296;3.47546;30.2106
8;0.050944;3.47386;26.4042
9;0.051008;3.47312;28.2304
10;0.051008;3.4705;28.9456
11;0.050912;3.47581;27.9509
12;0.05104;3.468;32.0131
13;0.050784;3.46832;29.1623
14;0.050944;3.47139;27.9231
15;0.051104;3.47152;30.0603
16;0.051008;3.47712;28.8104
17;0.050912;3.47114;28.2108
18;0.05104;3.4688;28.602
19;0.050944;3.47392;28.1483
20;0.051232;3.47555;29.6149
21;0.051136;3.47494;28.5595
22;0.051168;3.47357;28.2496
23;0.050912;3.47456;29.1442
24;0.050912;3.47008;29.5684
25;0.050944;3.46944;29.0527
26;0.050752;3.47219;29.2374
27;0.050912;3.47395;27.5007
28;0.050848;3.47037;28.9234
29;0.050944;3.4767;31.1964
30;0.051104;3.47226;28.7394
31;0.050944;3.7937;30.3252
32;0.050912;3.47213;29.1566
33;0.05104;3.46982;27.1815
34;0.051168;3.47043;28.533
35;0.0512;3.46794;27.1747
36;0.05104;3.47424;29.7122
37;0.051104;3.47315;28.9097
38;0.050816;3.47254;29.5364
39;0.05088;3.47728;27.6815
40;0.051232;3.47453;27.4563
41;0.050848;3.47021;28.3821
42;0.051072;3.47299;31.782
43;0.05104;3.47328;28.8227
44;0.051104;3.47002;27.3575
45;0.051072;3.53027;30.6706
46;0.05088;3.46886;31.7676
47;0.051072;3.46515;30.117
48;0.051072;3.47347;27.5114
49;0.050976;3.47411;27.3931
50;0.050912;3.47299;31.4573
