init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.024256;2.7465;4.8488
1;0.021728;2.73309;4.60154
2;0.021856;2.75104;4.8601
3;0.02192;2.74634;3.44374
4;0.021856;2.7136;3.4137
5;0.021888;2.73782;4.75104
6;0.02176;2.7297;4.65821
7;0.021984;2.71133;4.62093
8;0.021792;2.72125;3.40006
9;0.021952;2.74256;4.70723
10;0.02192;2.73517;4.69622
11;0.021824;2.73414;5.21286
12;0.021792;2.73926;4.72749
13;0.021856;2.73958;3.47574
14;0.021824;2.71635;4.7137
15;0.022112;2.73795;3.4607
16;0.021856;2.7369;4.43114
17;0.021824;2.75312;4.91219
18;0.022048;2.73248;4.3519
19;0.022048;2.73773;4.3041
20;0.02208;2.7417;4.47574
21;0.021856;2.7593;4.78496
22;0.021856;2.74278;4.73386
23;0.021792;2.74909;3.65437
24;0.022048;2.73994;3.78582
25;0.021952;2.74022;3.59869
26;0.021792;2.73946;4.21718
27;0.021952;2.75472;4.43651
28;0.02192;2.7377;4.39005
29;0.021856;2.76496;5.21146
30;0.021888;2.73798;3.60422
31;0.021792;2.75434;3.69709
32;0.02208;2.74902;3.64474
33;0.021984;2.74579;5.02781
34;0.021824;2.74531;3.8313
35;0.02176;2.74221;4.09126
36;0.021728;2.74854;4.68339
37;0.022176;2.74269;3.65338
38;0.021856;2.74749;4.07011
39;0.02176;2.75072;3.8872
40;0.02192;2.752;3.8527
41;0.021856;2.7648;3.84899
42;0.021824;2.74438;5.36387
43;0.021888;2.77382;5.3823
44;0.021856;2.7448;5.14413
45;0.021952;2.76976;5.3783
46;0.02192;2.75021;3.88605
47;0.02176;2.76147;3.80723
48;0.021856;2.72608;3.9144
49;0.021856;2.76029;4.24237
50;0.021792;2.72448;4.12365
