init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.080288;5.09696;30.4928
1;0.077984;5.07552;30.6276
2;0.07808;5.07037;30.8933
3;0.077952;5.06336;30.609
4;0.078144;5.06602;30.9606
5;0.078304;5.08707;31.2733
6;0.078048;5.06986;30.8403
7;0.078528;5.08448;30.8113
8;0.07824;5.07651;30.9673
9;0.078144;5.07267;30.9215
10;0.07808;5.05562;30.7864
11;0.07808;5.0808;30.8555
12;0.078112;5.06253;31.0341
13;0.07808;5.08643;31.0134
14;0.077888;5.08326;31.1562
15;0.077952;5.07642;30.9678
16;0.078272;5.08714;31.2836
17;0.077984;5.06032;31.1419
18;0.078112;5.10288;31.1276
19;0.07824;5.06173;31.1782
20;0.0784;5.06205;31.4172
21;0.078272;5.08637;31.2697
22;0.078112;5.06682;28.4427
23;0.077984;5.06125;28.3559
24;0.078016;5.06528;28.3244
25;0.077984;5.10352;28.4783
26;0.07792;5.08614;27.923
27;0.077856;5.11174;28.1769
28;0.07792;5.06646;28.2172
29;0.078048;5.07677;29.2365
30;0.078272;5.08576;28.1779
31;0.07792;5.06349;28.4884
32;0.078144;5.09821;28.2173
33;0.07824;5.09232;28.2851
34;0.078048;5.0751;29.3188
35;0.077888;5.07738;28.2558
36;0.07792;5.05878;29.4085
37;0.077952;5.06909;29.3663
38;0.077888;5.07514;29.2452
39;0.078112;5.11258;28.2187
40;0.07792;5.06096;28.4013
41;0.078112;5.07002;29.6785
42;0.077824;5.05523;28.5322
43;0.078112;5.03834;28.7672
44;0.077952;5.09283;29.7963
45;0.07808;5.05357;29.1392
46;0.077952;5.06938;28.7706
47;0.077952;5.06186;29.9727
48;0.078272;5.0591;29.0388
49;0.078304;5.07824;29.7244
50;0.077792;5.05402;29.8244
