init;0.056

frame;preprocessing;pyramid gen.;detection
0;0.927776;70.9393;239.497
1;1.17645;71.3388;248.93
2;1.17174;71.2855;252.442
3;1.16253;71.1946;249.879
4;0.924;71.3106;251.896
5;0.92272;70.9032;250.802
6;0.928544;71.4007;251.702
7;0.916864;71.7033;245.994
8;0.920064;71.2159;248.801
9;0.9448;71.3225;251.381
10;0.925888;71.3314;249.31
11;0.923968;70.995;247.006
12;0.925792;71.6784;252.007
13;0.922688;71.5576;253.234
14;0.925344;71.3454;255.507
15;0.927584;71.4469;253.399
16;0.924672;71.3869;253.958
17;0.928352;71.3487;254.476
18;0.922368;71.326;253.473
19;0.930048;71.3536;251.74
20;1.61043;71.2269;255.783
21;1.944;71.1726;255.828
22;0.92672;71.3886;234.008
23;0.916608;71.0956;229.685
24;0.928864;71.2112;232.106
25;0.92016;70.7882;231.062
26;0.92896;71.1146;228.434
27;0.921472;71.4091;228.326
28;0.929056;71.2004;229.394
29;0.925632;71.4279;228.895
30;0.947648;71.1204;227.497
31;0.947296;71.1477;231.024
32;0.930272;71.4547;227.663
33;0.923936;71.2883;229.579
34;0.929824;71.3336;232.109
35;0.948992;71.2858;229.667
36;0.92672;71.2161;230.659
37;0.924736;71.572;232.379
38;0.924224;71.1467;232.123
39;0.926112;71.3864;230.509
40;0.93984;71.1239;232.494
41;0.92512;71.0977;232.522
42;0.923296;71.4717;232.974
43;0.921888;71.2101;234.426
44;0.917856;71.0733;236.406
45;0.923392;71.2585;239.135
46;0.92944;71.3288;235.884
47;0.926976;71.4777;237.407
48;0.930144;71.5486;236.179
49;0.92704;71.4823;234.494
50;0.927424;71.4014;235.766
