init;0.14

frame;preprocessing;pyramid gen.;detection
0;0.057344;11.1974;12.3515
1;0.0552;11.2374;12.756
2;0.054272;11.1821;12.7273
3;0.055296;11.2097;12.5358
4;0.055104;11.1565;12.6208
5;0.055296;11.2271;12.6648
6;0.055296;11.22;12.7754
7;0.05472;11.1841;12.7181
8;0.055296;11.22;12.7693
9;0.055936;11.1831;12.7508
10;0.055072;11.2046;12.5972
11;0.061184;11.2087;12.6894
12;0.055136;11.1954;12.9853
13;0.05472;11.2138;12.7007
14;0.054272;11.1933;12.7099
15;0.055296;11.2507;12.8256
16;0.054976;11.1749;12.8174
17;0.055072;11.2026;12.7846
18;0.055168;11.2108;12.7355
19;0.05488;11.2179;12.8082
20;0.05616;11.22;12.9997
21;0.060416;11.1974;12.7805
22;0.054784;11.2251;12.3658
23;0.054272;11.1964;12.0218
24;0.056096;11.2179;12.3126
25;0.054848;11.1995;12.1549
26;0.055296;11.2323;12.2173
27;0.05568;11.2179;12.1457
28;0.054816;11.2189;12.2655
29;0.055296;11.2241;12.203
30;0.056032;11.1872;12.1426
31;0.054144;11.2251;12.3771
32;0.054272;11.1933;12.2491
33;0.055296;11.2343;12.373
34;0.055296;11.1667;12.2829
35;0.055296;11.221;12.3116
36;0.054272;11.2015;12.4129
37;0.054272;11.2312;12.4058
38;0.055136;11.222;12.3351
39;0.054848;11.2333;12.3443
40;0.054272;11.2333;12.5635
41;0.055232;11.1749;12.5184
42;0.055296;11.2302;12.4426
43;0.055296;11.1718;12.4252
44;0.054144;11.2056;12.4559
45;0.056288;11.2128;12.5194
46;0.055232;11.2414;12.1211
47;0.055136;11.2169;12.5798
48;0.054688;11.2026;12.5665
49;0.05408;11.2333;12.3587
50;0.054272;11.1636;12.6188
