init;0.046

frame;preprocessing;pyramid gen.;detection
0;0.258784;20.4884;192.903
1;0.256768;20.5044;193.412
2;0.256928;20.4987;194.05
3;0.256768;20.498;195.33
4;0.256672;20.5054;192.024
5;0.257408;20.5015;186.97
6;0.257536;20.4923;194.57
7;0.256768;20.5061;194.305
8;0.256384;20.5042;192.629
9;0.25728;20.505;191.997
10;0.257472;20.4926;199.668
11;0.256352;20.5056;197.567
12;0.25792;20.501;200.712
13;0.257344;20.4965;192.619
14;0.257248;20.4965;195.528
15;0.256768;20.4893;202.615
16;0.257536;20.5064;195.51
17;0.256608;20.4993;195.513
18;0.257344;20.4924;198.165
19;0.256832;20.495;202.112
20;0.25728;20.4876;201.671
21;0.256928;20.4892;203.597
22;0.256704;20.4866;188.895
23;0.256768;20.4936;190.416
24;0.256576;20.4981;190.191
25;0.257952;20.5087;191.654
26;0.256928;20.5121;192.285
27;0.257152;20.6097;193.408
28;0.257056;20.557;192.315
29;0.256608;20.4921;189.906
30;0.256768;20.4915;189.506
31;0.257184;20.5089;189.485
32;0.257344;20.4986;190.934
33;0.256736;20.5089;189.675
34;0.256832;20.489;183.948
35;0.256416;20.5034;194.502
36;0.257696;20.503;191.625
37;0.256576;20.4867;188.043
38;0.256864;20.4981;184.168
39;0.25648;20.5078;190.737
40;0.255744;20.4891;191.88
41;0.257088;20.4987;191.333
42;0.256576;20.4939;190.834
43;0.256992;20.5001;193.565
44;0.25712;20.4892;192.429
45;0.25696;20.5007;189.917
46;0.255936;20.508;196.689
47;0.25744;20.495;190.627
48;0.256064;20.4987;191.03
49;0.256384;20.5112;188.725
50;0.256224;20.4865;194.881
