init;0.031

frame;preprocessing;pyramid gen.;detection
0;0.209088;28.6292;37.4097
1;0.205696;28.5875;38.3605
2;0.206112;28.6173;39.008
3;0.206464;28.5833;38.8525
4;0.206432;28.59;39.8401
5;0.206304;28.6219;38.0796
6;0.206272;28.616;38.5999
7;0.20624;28.6123;39.0258
8;0.206272;28.6018;39.5692
9;0.210304;28.4838;39.9039
10;0.213856;28.4772;39.3498
11;0.206336;28.6265;39.1068
12;0.206592;28.6015;39.6177
13;0.20592;28.5967;40.5243
14;0.206112;28.598;39.7512
15;0.204608;28.517;40.5733
16;0.206528;28.6055;41.0138
17;0.212832;28.4682;40.6786
18;0.214048;28.4675;40.4257
19;0.206784;28.591;41.0038
20;0.205408;28.5962;39.957
21;0.2064;28.5992;39.8728
22;0.205888;28.6082;39.0563
23;0.213472;28.4629;36.788
24;0.213216;28.4772;38.5872
25;0.214208;28.4877;38.5364
26;0.20656;28.5918;38.3246
27;0.206624;28.6029;38.476
28;0.206464;28.5809;37.8592
29;0.206592;28.5763;37.0432
30;0.206336;28.6048;38.2678
31;0.206528;28.5943;39.2367
32;0.206656;28.6054;37.5515
33;0.20576;28.6101;38.6545
34;0.206528;28.6003;37.6978
35;0.206016;28.6057;37.7893
36;0.206112;28.6115;39.0471
37;0.206528;28.6032;37.7222
38;0.206208;28.6044;37.5549
39;0.206336;28.6001;37.9286
40;0.206656;28.6013;37.5582
41;0.206656;28.611;38.7447
42;0.206656;28.6006;37.628
43;0.206304;28.6236;37.304
44;0.206464;28.6036;39.3184
45;0.206112;28.61;38.8596
46;0.206016;28.5959;38.8096
47;0.20672;28.5946;39.0844
48;0.206016;28.6025;38.8904
49;0.206528;28.5902;38.6018
50;0.20672;28.4859;38.5832
