init;0.093

frame;preprocessing;pyramid gen.;detection
0;0.170208;11.359;66.9486
1;0.167712;11.3597;67.1866
2;0.167808;11.361;66.9301
3;0.167808;11.3406;67.8484
4;0.167392;11.3581;67.5356
5;0.167584;11.3797;67.4768
6;0.167488;11.3727;67.5963
7;0.167424;11.3451;67.8722
8;0.167808;11.3628;67.6476
9;0.167776;11.347;67.0748
10;0.167552;11.3606;67.8783
11;0.168128;11.3674;67.7369
12;0.167392;11.3842;67.936
13;0.167584;11.389;67.9665
14;0.167616;11.3735;67.9467
15;0.16768;11.3792;68.2737
16;0.16752;11.3732;68.0482
17;0.167488;11.3402;68.1614
18;0.167552;11.3527;67.8495
19;0.167456;11.3608;68.7006
20;0.16736;11.3397;68.5557
21;0.167648;11.3739;68.4871
22;0.167168;11.3705;64.1261
23;0.167168;11.3424;63.877
24;0.167328;11.331;64.1235
25;0.167296;11.3479;64.3962
26;0.1672;11.3306;63.8712
27;0.167296;11.3461;64.0485
28;0.167712;11.3413;63.9437
29;0.167232;11.3154;63.6709
30;0.167392;11.3703;63.9352
31;0.167584;11.3452;64.0118
32;0.167328;11.3664;64.1186
33;0.167488;11.3838;64.2207
34;0.167648;11.3425;64.3856
35;0.16752;11.3441;64.2448
36;0.167456;11.3698;64.1843
37;0.167232;11.3517;64.2703
38;0.167136;11.3578;64.2961
39;0.167328;11.3388;64.1208
40;0.167296;11.3245;64.1221
41;0.167328;11.38;64.8603
42;0.167168;11.3452;64.6796
43;0.167104;11.3524;64.7799
44;0.167296;11.337;64.9124
45;0.167488;11.3652;65.1547
46;0.167712;11.3317;65.1748
47;0.167488;11.3648;65.2657
48;0.16752;11.3617;65.194
49;0.167296;11.3824;65.0889
50;0.16736;11.3582;65.2445
