init;0.124

frame;preprocessing;pyramid gen.;detection
0;0.05152;7.37965;9.84464
1;0.049632;7.35536;10.6486
2;0.049504;7.37651;11.0321
3;0.049696;7.37968;12.0196
4;0.049792;7.3465;10.8388
5;0.049504;7.34458;12.5575
6;0.04944;7.35197;10.8827
7;0.049792;7.35379;11.7856
8;0.0496;7.37203;10.8428
9;0.049728;7.34461;11.8048
10;0.0496;7.36298;10.8671
11;0.049504;7.33245;10.6405
12;0.049728;7.33619;10.6363
13;0.049792;7.34202;12.421
14;0.049728;7.36509;11.5676
15;0.04992;7.3472;12.467
16;0.049568;7.26822;11.0621
17;0.049664;7.35786;11.0657
18;0.049664;7.37702;11.2642
19;0.049568;7.35674;10.8214
20;0.049536;7.30822;11.081
21;0.049728;7.35763;12.035
22;0.049696;7.32806;9.86742
23;0.049472;7.34752;9.69293
24;0.04944;7.36013;11.2776
25;0.049792;7.3537;9.7264
26;0.0496;7.38064;9.69722
27;0.049664;7.33168;11.1001
28;0.049536;7.34986;10.6999
29;0.049632;7.34358;11.0513
30;0.0496;7.33421;9.76016
31;0.049664;7.36867;9.63453
32;0.049408;7.36733;9.96352
33;0.049568;7.38774;9.8345
34;0.049536;7.34246;11.2246
35;0.049536;7.33456;11.0925
36;0.049696;7.35072;11.1247
37;0.049568;7.36883;10.1003
38;0.049536;7.3377;11.2098
39;0.049664;7.35213;9.79862
40;0.049632;7.35837;11.2568
41;0.049568;7.39587;11.1826
42;0.049536;7.38272;9.82285
43;0.049696;7.36278;9.7745
44;0.04944;7.33574;11.2426
45;0.049376;7.34957;10.1802
46;0.049664;7.35373;10.3744
47;0.049632;7.37859;10.1063
48;0.049664;7.33859;11.3036
49;0.049664;7.33648;11.4817
50;0.049472;7.33245;9.93738
