init;0.061

frame;preprocessing;pyramid gen.;detection
0;2.11814;114.961;518.113
1;2.10432;115.191;521.391
2;2.08413;115.174;523.649
3;2.0673;115.341;525.552
4;2.06064;115.374;525.102
5;2.05696;115.314;521.949
6;2.06304;115.196;525.146
7;2.06083;115.318;526.409
8;2.06115;115.289;524.171
9;2.06214;115.355;523.043
10;2.06106;115.228;526.28
11;2.06262;115.295;526.259
12;2.07101;115.158;529.094
13;2.08355;114.984;533.983
14;2.0551;115.174;533.434
15;2.06048;115.222;536.942
16;2.08742;115.057;533.534
17;2.05686;115.255;532.277
18;2.0721;114.913;530.37
19;2.05994;115.291;533.275
20;2.30896;114.889;536.742
21;2.06205;115.262;535.512
22;2.06138;115.217;500.142
23;2.06618;115.315;493.997
24;2.06294;115.078;497.045
25;2.064;115.343;496.364
26;2.07738;115.186;492.866
27;2.06304;114.807;493.693
28;2.06419;115.188;492.418
29;2.05904;115.138;491.165
30;2.06061;115.196;491.789
31;2.05798;115.267;494.579
32;2.05795;115.149;495.03
33;2.08563;115.155;495.241
34;2.05837;115.174;498.634
35;2.05949;115.137;496.991
36;2.05933;115.276;497.642
37;2.0671;115.362;496.938
38;3.02566;115.087;500.068
39;2.06205;115.199;497.929
40;2.07072;115.088;498.737
41;2.06886;115.296;501.989
42;2.05926;115.119;499.586
43;2.0616;115.352;500.187
44;2.06397;115.344;501.38
45;2.07718;114.945;502.7
46;2.06512;115.364;503.419
47;2.06394;115.284;503.259
48;2.06106;115.266;503.02
49;2.08307;114.966;503.729
50;2.08211;115.186;505.441
