init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.09728;18.6808;12.0443
1;0.09728;18.6808;11.9276
2;0.096256;18.6808;12.0187
3;0.095232;18.6624;12.1569
4;0.096672;18.6778;11.8661
5;0.096096;18.6819;11.9081
6;0.096128;18.6634;11.9962
7;0.095968;18.7075;12.2163
8;0.09696;18.6757;12.0044
9;0.09584;18.6604;11.7617
10;0.098048;18.6696;11.7678
11;0.0952;18.6563;11.9828
12;0.096256;18.687;12.0556
13;0.096256;18.689;11.8897
14;0.094208;18.6573;11.8856
15;0.096256;18.7095;11.9931
16;0.096064;18.6778;12.116
17;0.09728;18.6706;12.0279
18;0.095904;18.6839;12.0699
19;0.096256;18.6706;12.117
20;0.095648;18.69;12.0412
21;0.09728;18.6685;12.3812
22;0.096256;18.6706;11.6777
23;0.096608;18.7218;11.6306
24;0.096256;18.6982;11.7606
25;0.09664;18.6726;11.6408
26;0.096256;18.6665;11.6552
27;0.262144;18.6757;11.6173
28;0.0968;18.6696;11.4514
29;0.097024;18.6798;11.6716
30;0.262144;18.6839;11.5589
31;0.09616;18.647;11.5405
32;0.096256;18.7085;11.8088
33;0.096256;18.6726;11.6623
34;0.097152;18.6911;11.8948
35;0.096032;18.6665;11.7944
36;0.096128;18.6573;11.9634
37;0.095776;18.6808;11.7934
38;0.096256;18.688;11.8108
39;0.097216;18.6665;11.646
40;0.095968;18.6685;11.518
41;0.096256;18.6952;11.9429
42;0.096256;18.6819;11.8211
43;0.095232;18.69;11.732
44;0.096192;18.6747;11.7883
45;0.096256;18.6767;11.8436
46;0.096032;18.6829;12.0801
47;0.263168;18.6757;11.7586
48;0.096096;18.6747;11.8221
49;0.096256;18.6655;12.0627
50;0.096672;18.7085;11.8845
