init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.0512;10.7069;7.02566
1;0.105472;10.666;7.67795
2;0.049024;10.7479;8.67021
3;0.048928;10.6977;8.24218
4;0.04912;10.7131;8.57395
5;0.048512;10.7069;8.33536
6;0.04864;10.7284;8.84326
7;0.048832;10.6998;8.39578
8;0.048128;10.6783;7.9104
9;0.048128;10.7274;8.01485
10;0.048512;10.7203;7.95648
11;0.048128;10.7162;7.88275
12;0.048128;10.6772;8.28621
13;0.04864;10.7356;8.5207
14;0.048608;10.7233;8.93645
15;0.048128;10.6947;8.58214
16;0.049152;10.7203;8.55552
17;0.104448;10.7244;8.72243
18;0.04848;10.7039;8.51661
19;0.047808;10.71;8.5207
20;0.04896;10.7387;9.0368
21;0.048928;10.7059;8.09574
22;0.048128;10.6793;7.57658
23;0.04912;10.7397;7.62573
24;0.048032;10.7039;8.26982
25;0.048128;10.7028;7.55098
26;0.048128;10.6701;6.89357
27;0.049056;10.7325;7.66259
28;0.048896;10.7315;7.59603
29;0.048608;10.7336;8.15104
30;0.047776;10.6813;7.9616
31;0.048;10.7244;6.97549
32;0.048608;10.7346;6.91098
33;0.048128;10.7172;7.28064
34;0.049088;10.7141;7.23251
35;0.04784;10.666;8.05376
36;0.048736;10.7346;7.64826
37;0.048576;10.7059;8.00051
38;0.047808;10.7059;7.93907
39;0.048128;10.6711;7.67693
40;0.048128;10.7325;7.552
41;0.049088;10.7172;7.67898
42;0.048672;10.7448;8.10598
43;0.048736;10.6813;7.17722
44;0.048576;10.7182;7.84486
45;0.049152;10.7356;8.02509
46;0.048128;10.7284;8.30259
47;0.049024;10.6742;7.98925
48;0.04896;10.7346;8.3159
49;0.048128;10.7069;7.57453
50;0.048;10.7151;7.56634
