init;0.046

frame;preprocessing;pyramid gen.;detection
0;0.066176;3.23146;13.8116
1;0.065024;3.21997;14.8493
2;0.065312;3.21427;13.6348
3;0.064864;3.21472;13.318
4;0.064704;3.21466;15.018
5;0.065376;3.22458;15.1444
6;0.064864;3.22595;14.3167
7;0.064256;3.22141;14.2982
8;0.06464;3.2295;14.623
9;0.06528;3.22058;13.4587
10;0.065056;3.22051;13.586
11;0.064416;3.21792;13.3546
12;0.065248;3.22141;13.5382
13;0.064736;3.21344;14.2933
14;0.064608;3.22144;13.784
15;0.064352;3.22826;13.4309
16;0.065088;3.22531;14.2025
17;0.064992;3.22282;14.2159
18;0.063712;3.22093;13.3804
19;0.064896;3.2232;14.0446
20;0.065248;3.22278;14.9595
21;0.064928;3.21914;15.2449
22;0.064928;3.21021;14.359
23;0.064928;3.22336;14.8403
24;0.065472;3.22285;14.2575
25;0.064832;3.22474;13.227
26;0.064672;3.2184;12.9314
27;0.064864;3.22544;13.0102
28;0.064864;3.21894;13.0508
29;0.063872;3.22896;13.0024
30;0.065312;3.21808;13.0279
31;0.064416;3.21907;12.8668
32;0.064352;3.22179;14.3065
33;0.064576;3.22688;13.3315
34;0.064256;3.21558;14.3408
35;0.064704;3.21555;13.186
36;0.064928;3.21891;13.2926
37;0.064704;3.22371;13.1137
38;0.065056;3.22512;13.1436
39;0.06448;3.22346;13.1395
40;0.064576;3.22221;13.4425
41;0.064864;3.22269;13.7676
42;0.064448;3.21942;15.1538
43;0.064864;3.22355;15.0479
44;0.065024;3.21398;14.7285
45;0.064736;3.22582;14.953
46;0.06432;3.20854;14.3596
47;0.06432;3.21878;12.9896
48;0.064832;3.22026;13.0236
49;0.064864;3.22576;13.5128
50;0.064544;3.2161;14.5998
