init;0.031

frame;preprocessing;pyramid gen.;detection
0;0.096064;12.7332;18.2336
1;0.095136;12.7302;18.9365
2;0.094784;12.7249;18.8284
3;0.094496;12.7253;18.8494
4;0.094688;12.7214;18.9694
5;0.094496;12.7211;18.5084
6;0.09456;12.7337;18.7465
7;0.093664;12.7042;18.5364
8;0.09312;12.7181;18.7199
9;0.094144;12.7359;18.6714
10;0.096064;12.691;18.8942
11;0.094848;12.7227;18.734
12;0.094464;12.726;18.9734
13;0.095904;12.7111;19.0492
14;0.094688;12.7328;19.1258
15;0.0944;12.7179;19.477
16;0.094656;12.7358;18.9572
17;0.093024;12.7021;19.2244
18;0.093408;12.7211;18.6896
19;0.093312;12.7148;18.7335
20;0.093824;12.7277;19.0752
21;0.093984;12.7034;19.0438
22;0.099104;12.7142;17.5699
23;0.094176;12.7174;17.8432
24;0.094432;12.7162;16.5775
25;0.094496;12.711;17.7299
26;0.094912;12.7232;16.3441
27;0.095136;12.7348;17.7338
28;0.094624;12.7209;16.5657
29;0.094592;12.7228;16.4434
30;0.094464;12.7287;17.7205
31;0.093536;12.6989;17.5413
32;0.093632;12.7074;17.894
33;0.093568;12.7161;18.1188
34;0.092928;12.7004;18.2454
35;0.094496;12.6926;18.0026
36;0.093024;12.6992;16.2427
37;0.09392;12.6932;17.134
38;0.101184;12.7297;18.4991
39;0.094944;12.7302;16.5333
40;0.094272;12.7369;17.5616
41;0.094624;12.7185;18.1713
42;0.09456;12.7357;18.4881
43;0.094944;12.7173;16.6603
44;0.094912;12.7132;17.5117
45;0.095072;12.7266;18.3832
46;0.094592;12.7334;18.6158
47;0.094144;12.7308;16.8097
48;0.09376;12.6994;17.0476
49;0.0936;12.7114;18.3584
50;0.093536;12.7179;17.8416
