init;0.109

frame;preprocessing;pyramid gen.;detection
0;0.103872;16.675;22.556
1;0.101024;16.6702;24.1216
2;0.101152;16.7006;24.4375
3;0.100928;16.672;24.6652
4;0.10128;16.7244;24.4284
5;0.101088;16.6915;24.5272
6;0.101312;16.723;24.6392
7;0.101184;16.686;24.7707
8;0.101024;16.6828;24.6845
9;0.10112;16.7033;24.484
10;0.101248;16.6646;24.5919
11;0.101056;16.7203;24.6454
12;0.107552;16.6724;24.6135
13;0.101344;16.7116;24.8259
14;0.100992;16.6758;24.5527
15;0.101504;16.7127;25.1219
16;0.101184;16.626;24.8727
17;0.101344;16.7274;24.9464
18;0.101152;16.6815;24.6258
19;0.101152;16.6905;24.9096
20;0.101216;16.6826;24.9594
21;0.101184;16.631;25.3412
22;0.101024;16.6458;22.896
23;0.100992;16.6725;22.4007
24;0.101312;16.7116;22.4313
25;0.101248;16.6633;22.5854
26;0.101408;16.684;22.4178
27;0.10096;16.6344;22.3198
28;0.101408;16.6076;22.453
29;0.101184;16.6776;23.2707
30;0.10112;16.642;22.287
31;0.101088;16.6737;22.2402
32;0.101024;16.6995;22.3862
33;0.100864;16.6833;22.5494
34;0.101088;16.7106;22.4912
35;0.101024;16.6646;22.5614
36;0.10112;16.6877;22.6347
37;0.100832;16.6794;22.6133
38;0.10112;16.7199;22.6186
39;0.100832;16.6363;22.5511
40;0.101216;16.7051;22.4909
41;0.10096;16.6372;22.768
42;0.101152;16.72;22.8028
43;0.100896;16.6657;22.8035
44;0.101152;16.7236;23.8341
45;0.10096;16.6768;22.815
46;0.101088;16.6569;22.7665
47;0.100704;16.6831;22.8171
48;0.101344;16.7192;22.8848
49;0.100992;16.6148;22.8862
50;0.101088;16.6799;22.8182
