init;0.124

frame;preprocessing;pyramid gen.;detection
0;0.023936;2.12115;4.90282
1;0.021888;2.09373;4.5711
2;0.02192;2.11635;4.8393
3;0.024864;2.08586;3.73475
4;0.021728;2.06403;3.70272
5;0.021984;2.07808;4.92739
6;0.021792;2.07978;4.74448
7;0.02176;2.08301;4.69037
8;0.021792;2.09136;4.14813
9;0.02176;2.09501;4.70294
10;0.022048;2.10016;3.79376
11;0.02192;2.0879;4.75354
12;0.021888;2.09901;3.68573
13;0.021824;2.11389;4.68867
14;0.02192;2.08688;4.7968
15;0.021824;2.11248;4.37248
16;0.021792;2.09216;4.37437
17;0.021856;2.07357;4.28611
18;0.021888;2.0776;4.3409
19;0.021824;2.09706;4.35779
20;0.021856;2.09408;4.82051
21;0.021824;2.09309;5.1768
22;0.02176;2.08346;3.85859
23;0.021792;2.09654;3.736
24;0.021792;2.11718;3.79952
25;0.021888;2.07469;5.13594
26;0.021856;2.11146;4.81101
27;0.02176;2.08762;3.73229
28;0.021792;2.06829;3.82653
29;0.021856;2.07562;3.84042
30;0.021792;2.08736;3.95843
31;0.021856;2.08685;3.68992
32;0.021952;2.09459;3.79306
33;0.021824;2.11786;5.08141
34;0.021728;2.08886;5.10211
35;0.02192;2.11629;3.94963
36;0.02192;2.09776;4.79229
37;0.02224;2.06435;3.90406
38;0.021824;2.08486;4.16477
39;0.021984;2.08906;3.71386
40;0.022144;2.07901;3.58387
41;0.021856;2.0817;4.16771
42;0.021888;2.11181;5.77062
43;0.021984;2.0967;5.5944
44;0.021696;2.12294;5.40134
45;0.021888;2.09917;5.46922
46;0.021952;2.07322;4.22192
47;0.021952;2.09024;5.0153
48;0.021984;2.11248;4.10157
49;0.021888;2.08637;4.40374
50;0.021856;2.07558;3.99136
