init;0.061

frame;preprocessing;pyramid gen.;detection
0;2.06394;161.12;510.06
1;2.06371;161.276;538.722
2;2.06947;161.648;542.982
3;2.06291;161.758;550.187
4;2.06125;161.269;547.887
5;2.06326;161.147;542.3
6;2.06691;161.32;545.44
7;2.06861;161.5;548.594
8;2.06934;161.153;546.173
9;2.06064;161.55;545.664
10;2.06858;161.259;545.336
11;2.06042;161.272;547.934
12;2.0607;161.655;551.844
13;2.0625;161.283;554.939
14;2.0647;161.504;554.297
15;2.05469;161.242;559.316
16;2.06579;161.236;557.657
17;2.08218;161.277;554.581
18;2.06762;161.679;551.24
19;2.07942;161.215;555.845
20;2.05683;161.427;558.759
21;2.05456;161.396;560.979
22;2.06592;161.33;528.265
23;2.05875;161.283;516.519
24;2.06352;161.641;517.565
25;2.07008;161.248;519.399
26;2.06131;161.332;517.35
27;2.06282;161.448;513.476
28;2.06515;161.224;514.93
29;2.05763;161.442;513.161
30;2.06643;161.613;515.356
31;2.07174;161.521;514.867
32;2.06378;161.393;516.648
33;2.0577;161.413;518.547
34;2.08554;161.324;519.823
35;2.06493;161.29;518.62
36;2.07702;161.556;519.326
37;2.06307;161.244;518.698
38;2.08019;161.366;520.318
39;2.0649;161.44;521.154
40;2.0576;161.26;519.138
41;2.06166;161.469;523.963
42;2.05046;161.454;522.772
43;2.06118;161.186;522.326
44;2.06083;161.967;523.748
45;2.05235;161.309;526.149
46;2.05955;161.346;525.176
47;2.06413;161.06;525.513
48;2.06454;161.462;524.941
49;2.06333;161.29;526.297
50;2.05779;161.301;527.138
