init;0.072

frame;preprocessing;pyramid gen.;detection
0;0.610048;21.1325;87.3996
1;0.594688;21.2571;86.8462
2;0.586144;21.3739;88.8423
3;0.598912;21.2296;85.4166
4;0.601184;21.1542;85.4292
5;0.568192;21.1105;88.1358
6;0.581728;21.3963;88.4964
7;0.594592;21.3214;88.5749
8;0.588288;21.1509;86.4993
9;0.580544;21.1136;88.4733
10;0.430816;21.1223;88.553
11;0.452864;21.2576;90.4157
12;0.457184;21.2684;90.6227
13;0.418112;21.393;89.8283
14;0.424896;21.3995;89.8833
15;0.449088;21.3603;89.1082
16;0.435488;21.1859;91.9163
17;0.443072;21.2325;89.966
18;0.423104;21.1647;90.7214
19;0.438496;21.075;90.5063
20;0.43088;21.1367;94.4817
21;0.408384;21.14;91.9926
22;0.42816;21.2454;88.2334
23;0.423936;21.1612;88.8917
24;0.41952;21.1266;89.223
25;0.42304;21.1554;87.8245
26;0.428416;21.2007;87.9783
27;0.440288;21.358;88.1183
28;0.44208;21.1638;89.469
29;0.45808;21.1528;88.2831
30;0.44016;21.1272;87.4909
31;0.415232;21.2508;89.3449
32;0.445312;21.4007;89.5277
33;0.438432;21.4011;88.6862
34;0.416416;21.1681;87.6229
35;0.43824;21.1139;89.2884
36;0.412128;21.1618;90.9814
37;0.442304;21.1143;91.6879
38;0.430368;21.1045;91.3686
39;0.42176;21.1249;87.0199
40;0.431552;21.1025;87.8283
41;0.444704;21.4478;90.3563
42;0.448;21.4129;95.6324
43;0.442912;21.0708;92.1153
44;0.407296;21.1017;92.0921
45;0.442368;21.0751;90.8933
46;0.41104;21.0982;91.9909
47;0.434272;21.0743;91.1609
48;0.425472;21.1228;90.7242
49;0.420608;21.0763;89.8597
50;0.429792;21.1535;92.7119
