init;0.14

frame;preprocessing;pyramid gen.;detection
0;0.021248;3.94445;3.39251
1;0.019136;3.94138;3.22355
2;0.018432;3.94445;3.78778
3;0.018784;3.92602;2.85389
4;0.0192;3.94547;2.45658
5;0.018432;3.94957;3.31366
6;0.103424;3.9383;3.52973
7;0.018432;3.94035;3.53792
8;0.018272;3.9465;3.44269
9;0.018432;3.94035;3.67206
10;0.018432;3.9465;2.47706
11;0.019296;3.94547;3.81133
12;0.0192;3.95264;3.46624
13;0.019296;3.93216;3.27885
14;0.019232;3.94138;3.40685
15;0.018432;3.94035;3.52666
16;0.018432;3.94035;3.19283
17;0.0184;3.93523;3.18157
18;0.018336;3.94752;3.31264
19;0.018208;3.93933;3.90554
20;0.019136;3.92294;3.33005
21;0.01888;3.93421;3.60038
22;0.018848;3.92909;3.46829
23;0.018432;3.93008;3.49082
24;0.018432;3.92397;3.11091
25;0.019136;3.93933;3.64646
26;0.018432;3.91885;3.00032
27;0.018432;3.93421;2.81702
28;0.01888;3.92602;2.93171
29;0.018816;3.9383;2.80064
30;0.019232;3.95264;3.65363
31;0.018176;3.93011;3.50106
32;0.018944;3.93728;3.03104
33;0.019136;3.9424;3.51642
34;0.018432;3.93626;2.91021
35;0.018432;3.93011;3.14368
36;0.018432;3.93933;4.00691
37;0.018432;3.94138;2.83443
38;0.103424;3.93114;3.48058
39;0.018816;3.93626;2.74022
40;0.018432;3.94445;2.80269
41;0.019136;3.94547;3.58707
42;0.019456;3.94854;3.95981
43;0.018432;3.93728;3.94035
44;0.019008;3.91987;3.60755
45;0.018112;3.93626;2.92147
46;0.018848;3.9168;2.8201
47;0.018432;3.9383;3.52666
48;0.018432;3.93114;3.8912
49;0.018432;3.9209;3.00442
50;0.019232;3.9168;3.32595
