init;0.156

frame;preprocessing;pyramid gen.;detection
0;0.050176;7.90426;8.01382
1;0.047648;7.8889;8.51968
2;0.049056;7.9319;7.84794
3;0.048704;7.93293;8.53709
4;0.048128;7.94624;8.73267
5;0.048128;7.95853;8.78694
6;0.048128;7.90221;8.38963
7;0.049152;7.88582;7.53664
8;0.049152;7.89094;7.69946
9;0.0488;7.91142;8.1367
10;0.048928;7.88173;8.38656
11;0.048128;7.936;7.44448
12;0.048864;7.93805;8.55245
13;0.048576;7.94419;7.75782
14;0.047616;7.94931;7.56224
15;0.048704;7.93498;8.52275
16;0.0488;7.93293;8.34355
17;0.049152;7.90221;8.49613
18;0.048128;7.88582;7.82848
19;0.047904;7.89299;7.7271
20;0.048768;7.88787;8.10291
21;0.047776;7.88685;8.19917
22;0.049152;7.93702;8.12954
23;0.048128;7.94931;7.52742
24;0.048128;7.93805;7.85818
25;0.048928;7.94624;8.04352
26;0.048128;7.94112;7.60013
27;0.048128;7.90221;7.72198
28;0.0488;7.9145;6.91302
29;0.048064;7.87866;7.62061
30;0.047776;7.88582;7.74042
31;0.048128;7.90733;7.65542
32;0.048512;7.90323;7.79469
33;0.048128;7.88275;7.7527
34;0.048576;7.87866;7.74758
35;0.04896;7.92986;7.92576
36;0.048128;7.93805;7.45574
37;0.04864;7.95238;8.02918
38;0.0488;7.9401;6.78195
39;0.048896;7.93498;8.04045
40;0.048576;7.9616;8.03942
41;0.049152;7.90426;7.29498
42;0.048672;7.90221;7.1639
43;0.04784;7.89709;7.39533
44;0.048128;7.89197;6.86797
45;0.048544;7.88685;8.04454
46;0.047744;7.88685;8.00154
47;0.048512;7.89709;7.54074
48;0.049152;7.89811;8.04762
49;0.0496;7.87968;8.05478
50;0.049024;7.93088;8.14797
