==7540== NVPROF is profiling process 7540, command: WaldboostDetector.exe -iv 1920x1080.mp4 -dm aglobal -lf 0
==7540== Warning: Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==7540== Profiling application: WaldboostDetector.exe -iv 1920x1080.mp4 -dm aglobal -lf 0
==7540== Profiling result:
==7540== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"achieved_occupancy","Achieved Occupancy",0.862252,0.862252,0.862252
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"gst_throughput","Global Store Throughput",205.190118MB/s,205.190118MB/s,205.190118MB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"gld_throughput","Global Load Throughput",2.423022GB/s,2.423022GB/s,2.423022GB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivors(__int64, __int64, wbd::SurvivorData*, wbd::SurvivorData*, unsigned int const *, unsigned int*, unsigned short, unsigned short)",1,"atomic_throughput","Atomic Throughput",379.520246MB/s,379.520246MB/s,379.520246MB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivorsInit(__int64, __int64, unsigned int, unsigned int, wbd::SurvivorData*, unsigned int*, unsigned short)",1,"achieved_occupancy","Achieved Occupancy",0.862396,0.862396,0.862396
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivorsInit(__int64, __int64, unsigned int, unsigned int, wbd::SurvivorData*, unsigned int*, unsigned short)",1,"gst_throughput","Global Store Throughput",6.356029GB/s,6.356029GB/s,6.356029GB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivorsInit(__int64, __int64, unsigned int, unsigned int, wbd::SurvivorData*, unsigned int*, unsigned short)",1,"gld_throughput","Global Load Throughput",0.000000B/s,0.000000B/s,0.000000B/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectSurvivorsInit(__int64, __int64, unsigned int, unsigned int, wbd::SurvivorData*, unsigned int*, unsigned short)",1,"atomic_throughput","Atomic Throughput",8.818338GB/s,8.818338GB/s,8.818338GB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectDetections(__int64, __int64, wbd::SurvivorData*, unsigned int const *, wbd::Detection*, unsigned int*, unsigned short)",1,"achieved_occupancy","Achieved Occupancy",0.386337,0.386337,0.386337
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectDetections(__int64, __int64, wbd::SurvivorData*, unsigned int const *, wbd::Detection*, unsigned int*, unsigned short)",1,"gst_throughput","Global Store Throughput",6.884212MB/s,6.884212MB/s,6.884212MB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectDetections(__int64, __int64, wbd::SurvivorData*, unsigned int const *, wbd::Detection*, unsigned int*, unsigned short)",1,"gld_throughput","Global Load Throughput",1.710660GB/s,1.710660GB/s,1.710660GB/s
"Quadro K1000M (0)","wbd::gpu::detection::atomicglobal::detectDetections(__int64, __int64, wbd::SurvivorData*, unsigned int const *, wbd::Detection*, unsigned int*, unsigned short)",1,"atomic_throughput","Atomic Throughput",5.648881MB/s,5.648881MB/s,5.648881MB/s
